тестирање на push-relabel
__________________________________

граф со 50 темиња random генериран:

Input:
140
25 23 125
10 34 55
10 43 139
13 42 34
45 19 186
3 49 147
14 49 148
26 14 122
38 16 63
24 17 122
4 48 105
15 14 49
4 2 25
0 44 25
29 34 169
20 31 111
0 7 91
0 16 109
20 49 106
35 10 120
10 29 187
17 44 14
16 33 173
33 49 168
0 46 166
14 8 26
28 7 16
0 9 104
35 12 187
18 5 87
27 38 28
21 4 64
43 34 50
1 37 49
16 35 138
17 0 115
34 16 36
0 48 109
23 22 47
0 2 72
49 41 119
35 14 64
34 46 20
44 35 114
48 17 141
11 32 26
0 41 13
39 23 167
32 48 139
37 14 4
29 40 24
9 16 193
41 23 61
4 38 43
48 10 105
5 48 125
46 31 124
0 43 55
38 27 103
43 41 16
29 24 43
17 4 98
25 42 1
2 49 100
29 33 68
3 14 117
48 46 74
6 40 109
6 49 179
44 12 188
1 7 143
45 41 170
0 18 184
19 40 125
48 21 40
45 4 49
2 42 76
23 10 56
3 7 15
23 19 149
15 36 189
4 24 139
8 15 16
27 37 192
40 10 81
0 38 15
20 25 13
31 25 150
13 41 123
38 49 129
0 4 136
14 2 41
32 38 15
21 17 131
49 33 21
13 34 48
18 27 18
45 20 153
15 49 18
24 6 173
47 35 61
0 15 104
42 30 31
17 40 146
28 49 64
32 31 149
13 36 153
4 21 11
0 8 159
45 40 21
47 37 108
28 33 169
34 49 150
32 15 145
14 43 134
17 42 81
6 5 67
12 9 53
14 6 172
24 38 184
36 12 81
18 40 62
9 13 68
46 7 102
49 3 34
46 16 172
23 48 166
15 10 77
41 29 118
9 40 81
44 34 193
7 24 19
35 49 3
2 46 118
39 49 160
28 37 145
5 35 26
15 3 19
44 27 138
21 7 55
0 49

Output:
859 

Corner case:

CP4 8.11* (FF Killer)
Input:
4 5
0 1 8 
0 2 8 
1 3 8 
2 1 1 
2 3 8 
0 3
Ouput:
16

CP4 Ex 8.5.3.1* (wrong)
Input:
8 16
0 1 1 
0 2 1 
0 3 1 
1 4 1 
1 5 1 
1 6 1 
2 5 1 
3 5 1 
4 1 1 
4 7 1 
5 1 1 
5 2 1 
5 3 1 
5 7 1 
6 1 1 
6 7 1 
0 7
Ouput:
3 

CP4 Ex 8.5.3.1* (correct)
Input:
8 11
0 1 1 
0 2 1 
0 3 1 
1 4 1 
1 5 1 
1 6 1 
2 5 1 
3 5 1 
4 7 1 
5 7 1 
6 7 1 
0 7
Ouput:
2 

Special Case:

CP4 8.17.A* (MC S = {5])
Input:
5 7
0 2 5 
0 3 3 
1 4 99 
2 1 3 
2 3 2 
2 4 99 
3 1 6 
0 4
Ouput:
8 

CP4 8.17.B* (MC T = {t})
Input:
5 7
0 2 99 
0 3 99 
1 4 4 
2 1 3 
2 3 2 
2 4 3 
3 1 6 
0 4
Ouput:
7 

CP4 8.17.C*
Input:
5 7
0 2 99 
0 3 3 
1 4 99 
2 1 3 
2 3 2 
2 4 3 
3 1 6 
0 4
Ouput:
11 

CS4234 MF Demo
Input:
8 15
0 1 10 
0 2 5 
0 3 15 
1 2 4 
1 4 9 
1 5 15 
2 3 4 
2 5 8 
3 6 16 
4 5 15 
4 7 10 
5 6 15 
5 7 10 
6 2 6 
6 7 10
0 7 
Ouput:
28 

CP4 8.15* (Dinic Showcase)
Input:
10 16
0 1 5 
0 2 8 
0 3 3 
0 4 5 
0 5 7 
0 9 7 
1 9 4 
2 9 9 
3 6 1 
4 7 4 
5 6 1 
5 7 2 
5 8 6 
6 9 1 
7 9 6 
8 9 5 
0 9
Ouput:
31 

Matching with Capacity
Input:
6 7
0 1 1 
0 2 3 
1 3 99 
1 4 99 
2 4 99 
3 5 2 
4 5 2 
0 5
Ouput:
3 

waif (AC)
Input:
10 14
0 1 1 
0 2 1 
0 3 1 
0 4 1 
1 5 1 
1 6 1 
2 5 1 
2 6 1 
3 7 1 
4 7 1 
5 8 1 
6 8 1 
7 9 1 
8 9 1 
0 9
Ouput:
2 

Reduction:

CP4 8.20.A* (MVDP/MIP) 
Input:
8 9
0 1 1 
0 3 1 
1 2 1 
2 3 1 
3 4 1 
4 5 1 
4 7 1 
5 6 1 
6 7 1 
0 7
Ouput:
1 

CP4 8.20.B* (MEDP)
Input:
5 6
0 1 1 
0 2 1 
1 2 1 
2 3 1 
2 4 1 
3 4 1 
0 4
Ouput:
2 

CP4 8.29* (MWVC)
Input:
8 11
0 1 2 
0 2 3 
0 3 4 
1 4 99 
1 5 99 
1 6 99 
2 6 99 
3 6 99 
4 7 7 
5 7 1 
6 7 5 
0 7
Ouput:
7 

MCMF:

CP4 9.23
Input:
6 7
0 1 20 
1 2 10 
1 3 10 
1 4 10 
2 4 10 
3 4 10 
4 5 20 
0 5
Ouput:
20 

CP4 9.24 UVa 10746
Input:
9 19
0 1 1 
0 2 1 
0 3 1 
1 4 1 
1 5 1 
1 6 1 
1 7 1 
2 4 1 
2 5 1 
2 6 1 
2 7 1 
3 4 1 
3 5 1 
3 6 1 
3 7 1 
4 8 1 
5 8 1 
6 8 1 
7 8 1 
0 8
Ouput:
3

